engagement,followers,following,total_likes,author_name,privateAccount,verified,total_videos,day_posted,time_posted,video_likes,video_comments,video_plays,video_duration,shareCount,isMuted,isPinned,isSlideshow,music_name,original_sound,hashtags_used
10200,93900000,634,2300000000,bellapoarch,False,True,688,tuesday,2.58,64900000,2700000,807900000,10,42400000,False,False,False,M to the B,False,1
34200,15200000,117,346200000,franekbielak_art,False,True,299,monday,20.28,51600000,806100,298100000,26,1000000,False,False,False,Deep End,False,4
5448,419200,27,45600000,metrevelisalii,False,False,4,monday,11.12,45400000,186500,348400000,29,584700,True,False,False,original sound,True,6
13700,977200,401,41000000,adrianchateau,False,False,5,wednesday,3.18,40700000,517200,246800000,9,2000000,False,False,False,original sound,True,1
18500,669700,1036,40300000,s4r4h43,False,False,2,wednesday,21.29,39500000,313300,318400000,15,332000,False,False,False,오리지널 사운드 - 🎧,True,6
10200,14800000,51,212300000,chipmunksoftiktok,False,False,572,friday,14.27,36200000,338100,304200000,24,1100000,False,False,False,original sound,True,6
0,1900000,0,154900000,lovepets.tv,False,False,2556,tuesday,14.58,35900000,135800,256600000,6,5400000,False,False,False,Mio Mao La La La La La,False,4
113500,3600000,1814,97900000,kiki.tiel,False,False,317,thursday,9.58,33500000,203300,234500000,18,1300000,False,False,False,original sound,True,6
10200,14800000,51,212300000,chipmunksoftiktok,False,False,572,friday,23.27,32700000,224300,234500000,29,849100,False,False,False,original sound,True,6
10600,16000000,3,335000000,tool_tips,False,False,1612,tuesday,12.52,32400000,92900,547700000,59,1700000,False,False,False,original sound,True,4
44800,2800000,9595,41200000,cacha.7.griselda,False,False,2411,tuesday,18.02,32200000,1400000,283900000,12,2300000,False,False,False,Trap de Amarela,True,3
9619,859600,116,31800000,jakeswolsky,False,False,21,monday,23.24,31000000,651000,216900000,10,1600000,False,False,False,original sound,True,1
27300,6400000,353,125700000,jebunggg,False,True,504,sunday,17.46,29000000,279600,241000000,8,335100,False,False,False,original sound - Jessica Bunga,True,3
181,1500000,11,30100000,folkstory_l,False,False,308,tuesday,9.23,28900000,197600,479200000,8,3400000,False,False,False,"Sports Car Sounds: Modern Car, Pt. 1",False,3
78000,3700000,444,45000000,officialtrueblackboy,False,True,136,sunday,2.11,25700000,291200,141900000,10,502700,True,False,False,no sound,True,7
700,21000000,158,199500000,urbantheory_,False,True,431,monday,14.15,23100000,126100,253100000,12,456900,False,False,False,The Magic Bomb (Questions I Get Asked) [Extended Mix],False,6
174,8000000,69,340300000,samuelgrubbs,False,True,161,saturday,23.27,19600000,202200,177200000,14,435000,False,False,False,M to the B,False,9
25400,3500000,490,67100000,kraall.10,False,True,1212,monday,14.23,17900000,42600,259900000,18,386800,True,False,False,no sound,True,6
7203,54800000,9821,1300000000,spencerx,False,True,1259,sunday,3.40,17700000,87100,227800000,16,167500,False,False,False,original sound,True,4
2662,10100000,0,106900000,laika.secret,False,False,28,friday,3.06,17100000,116700,261900000,18,208800,False,False,False,Hoist the Colours,False,12
116900,10900000,1202,237500000,itsjovynn,False,True,1491,wednesday,14.39,16200000,63500,113200000,10,67100,False,False,False,JOVYNN Suave sound edit,True,5
2969,877000,267,118600000,_ianstnr_,False,False,223,thursday,16.17,15300000,202800,85900000,11,2000000,False,False,False,son original,True,10
11300,9600000,206,700500000,gnb.official,False,False,2391,sunday,19.00,14500000,65000,98900000,59,303600,False,False,False,Got who pregnant,True,8
30400,18000000,1557,642500000,joeyklaasen,False,True,1167,sunday,23.09,14500000,19800,127000000,10,80400,False,False,False,original sound,True,3
46700,3000000,1730,77200000,cataleah,False,False,642,wednesday,19.45,14500000,119300,84000000,10,206200,True,False,False,no sound,False,4
27600,24100000,47,421300000,mercuri_88,False,True,1203,wednesday,14.56,14200000,125600,127300000,10,375500,False,False,False,Originalton,True,15
4096,353100,98,14100000,hunainmalik22,False,False,57,saturday,3.30,13900000,0,78800000,10,680400,False,False,False,original sound,True,6
73600,3100000,1080,47900000,britishpromise.cats,False,False,152,wednesday,20.27,37500000,449700,305300000,13,2800000,False,False,False,origineel geluid,True,6
10200,14800000,51,212300000,chipmunksoftiktok,False,False,572,thursday,15.05,28200000,383500,287700000,15,1200000,False,False,False,original sound,True,5
3852,4500000,520,111200000,spencer2thewest,False,True,671,tuesday,19.58,26300000,507100,264100000,8,1200000,False,False,False,Follow weeememes,True,6
19000,10300000,184,678700000,abrameng,False,True,1957,wednesday,23.27,25500000,297700,210700000,12,995300,False,False,False,original sound,True,6
82200,331300,1202,31100000,reillyd543,False,False,5,friday,13.53,24900000,143900,166700000,15,499100,False,False,False,som original,True,8
6138,3300000,96,46900000,twiniboo,False,False,95,wednesday,0.27,23800000,408300,164300000,36,1100000,False,False,False,Chopin Nocturne No. 2 Piano Mono,False,12
173800,4300000,1736,71400000,_luke.the.voice_,False,False,90,sunday,12.19,23600000,181700,137100000,34,208400,False,False,False,Hoist the Colors,True,12
3022,8900000,258,193000000,ricoanimations0,False,False,325,tuesday,14.05,23500000,202200,283600000,9,3000000,False,False,False,original sound,True,10
113,6000000,1,127900000,l0veandnazzofficial,False,False,947,wednesday,16.21,22200000,90300,134700000,18,742000,True,False,False,original sound,True,9
6351,4800000,19,81500000,eduwoes,False,True,399,monday,14.59,21700000,106200,137400000,44,71600,True,False,False,drivers license x take me to church,True,5
78000,3700000,444,45000000,officialtrueblackboy,False,True,136,sunday,2.11,0,291200,0,10,502700,True,False,False,no sound,True,7
3022,8900000,258,193000000,ricoanimations0,False,False,325,tuesday,14.05,0,202200,0,9,3000000,False,False,False,original sound,True,10
